Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2017,7,16,12,45,ENG - Solid Waste,Sanitation,Cart - Garbage,8##,E 11TH AV,Mount Pleasant
2017,7,16,12,49,Business Planning & Services,311 Contact Centre,Citizen Feedback,37##,W 3RD AV,West Point Grey
2017,7,16,12,57,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,8##,HELMCKEN ST,Downtown
2017,7,16,13,6,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,28##,WILLIAM ST,Hastings-Sunrise
2017,7,16,13,12,Business Planning & Services,311 Contact Centre,Citizen Feedback,Intersection,ARBUTUS ST and W 7TH AV,Kitsilano
2017,7,16,13,19,ENG - Streets,Streets Operations,Streets - General Issues,8##,KEEFER ST,Strathcona
2017,7,16,13,27,Business Planning & Services,311 Contact Centre,Citizen Feedback,8##,AVISON WAY,
2017,7,16,13,27,ENG - Water & Sewer,Water Design,Water Conservation Violation,8##,UNION ST,Strathcona
2017,7,16,13,34,ENG - Streets,Streets Operations,Sidewalk - Repair,Intersection,FIR ST and W 6TH AV,Fairview
2017,7,16,13,41,ENG - Solid Waste,Sanitation,Cart - Garbage,11##,W 50TH AV,Oakridge
2017,7,16,13,52,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,6##,E 45TH AV,Sunset
2017,7,16,14,5,Business Planning & Services,311 Contact Centre,Citizen Feedback,8##,E 11TH AV,Mount Pleasant
2017,7,16,14,6,CSG - Licenses,Animal Services,Lost Pets Case,16##,E 6TH AV,Grandview-Woodland
2017,7,16,14,23,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),23##,NANAIMO ST,Grandview-Woodland
2017,7,16,14,34,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,21##,E 20TH AV,Kensington-Cedar Cottage
2017,7,16,14,35,ENG - Solid Waste,Sanitation,Cart - Green (Yard Trimmings and Food Scraps),40##,FLEMING ST,Kensington-Cedar Cottage
2017,7,16,14,41,ENG - Water & Sewer,Water Design,Water Conservation Violation,31##,E 51ST AV,Killarney
